filepath,pii_types_found
EclipseDataSpaceConnector/core/common/transform-core/src/main/java/org/eclipse/edc/core/transform/transformer/to/JsonObjectToDatasetTransformer.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/transform-core/src/main/java/org/eclipse/edc/core/transform/transformer/to/JsonObjectToDistributionTransformer.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/transform-core/src/main/java/org/eclipse/edc/core/transform/transformer/to/JsonObjectToDutyTransformer.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/transform-core/src/main/java/org/eclipse/edc/core/transform/transformer/to/JsonObjectToPermissionTransformer.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/transform-core/src/main/java/org/eclipse/edc/core/transform/transformer/to/JsonObjectToPolicyTransformer.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/transform-core/src/main/java/org/eclipse/edc/core/transform/transformer/to/JsonObjectToProhibitionTransformer.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/transform-core/src/test/java/org/eclipse/edc/core/transform/PayloadTransformer.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/transform-core/src/test/java/org/eclipse/edc/core/transform/TypeTransformerRegistryImplTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/transform-core/src/test/java/org/eclipse/edc/core/transform/transformer/from/JsonObjectFromPolicyTransformerTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/transform-core/src/test/java/org/eclipse/edc/core/transform/transformer/to/JsonObjectToAssetTransformerTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/transform-core/src/test/java/org/eclipse/edc/core/transform/transformer/to/JsonObjectToAtomicConstraintComplexTypeTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/transform-core/src/test/java/org/eclipse/edc/core/transform/transformer/to/JsonObjectToConstraintTransformerTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/util/src/main/java/org/eclipse/edc/util/async/AsyncUtils.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/util/src/main/java/org/eclipse/edc/util/reflection/ReflectionUtil.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/util/src/test/java/org/eclipse/edc/util/concurrency/LockManagerTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/util/src/test/java/org/eclipse/edc/util/reflection/ReflectionUtilTest.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/validator-core/src/main/java/org/eclipse/edc/validator/jsonobject/JsonLdPath.java,[IP_ADDRESS_6A]
EclipseDataSpaceConnector/core/common/validator-core/src/main/java/org/eclipse/edc/validator/jsonobject/JsonObjectValidator.java,[IP_ADDRESS_6A]
