test_name,no. RCI different,percentage different
adapted_12b_core_generation_auto_long_one,52,59.09090909090909
adapted_12b_core_generation_auto_long_three,51,57.95454545454545
adapted_12b_core_generation_auto_short_one,52,59.09090909090909
adapted_12b_core_generation_auto_short_three,60,68.18181818181819
adapted_12b_core_generation_xl_long_one,64,72.72727272727273
adapted_12b_core_generation_xl_long_three,58,65.9090909090909
adapted_12b_core_generation_xl_long_zero,32,36.36363636363637
adapted_12b_core_generation_xl_short_one,62,70.45454545454545
adapted_12b_core_generation_xl_short_three,59,67.04545454545455
adapted_12b_core_generation_xl_short_zero,26,29.545454545454547
adapted_12b_core_summarization_auto_long_one,58,65.9090909090909
adapted_12b_core_summarization_auto_long_three,55,62.5
adapted_12b_core_summarization_auto_short_one,56,63.63636363636363
adapted_12b_core_summarization_auto_short_three,60,68.18181818181819
adapted_12b_core_summarization_xl_long_one,62,70.45454545454545
adapted_12b_core_summarization_xl_long_three,60,68.18181818181819
adapted_12b_core_summarization_xl_long_zero,82,93.18181818181819
adapted_12b_core_summarization_xl_short_one,51,57.95454545454545
adapted_12b_core_summarization_xl_short_three,57,64.77272727272727
adapted_12b_core_summarization_xl_short_zero,67,76.13636363636364
