test_name,bleu_score,corpus_rouge1,corpus_rouge2,corpus_rougeL,corpus_rougeLsum,corpus_bertscore_precision,corpus_bertscore_recall,corpus_bertscore_f1
gemma-3-12b-it_summarization_auto_long_one,19.285806642568524,0.5342813383296751,0.2541510835867846,0.4268667970852561,0.4264132702627091,0.7505797201936896,0.751446389339187,0.7501788105476986
gemma-3-12b-it_summarization_auto_long_three,19.44437483793928,0.5248572974189062,0.2474749994664671,0.4231994328647949,0.423064706140118,0.7400816496122967,0.7466873479160395,0.7425435849211433
gemma-3-12b-it_summarization_auto_short_one,11.136098029251563,0.491561919376039,0.2287267417108119,0.4188187535963116,0.4190739529507742,0.7341737361116842,0.7794019390236248,0.755019603127783
gemma-3-12b-it_summarization_auto_short_three,13.228753449083118,0.5036030537383687,0.2462439713374473,0.4278652935854162,0.4272159660258762,0.7200894267721609,0.7779098783027042,0.7471272769299421
gemma-3-12b-it_summarization_long_zero,11.159860124313465,0.4690868093227608,0.1791341675844656,0.3541019658937754,0.3537305309961323,0.7160308516838334,0.7042652233080431,0.7093724594874815
gemma-3-12b-it_summarization_short_zero,7.625299926003029,0.4418583410232148,0.1869679923353476,0.3704895329947508,0.370265803674571,0.7055502466180108,0.7631855728951368,0.7321178093552589
gemma-3-12b-it_summarization_xl_long_one,11.125334834922889,0.4876481661919015,0.184967318398738,0.3838153648047459,0.3834532545660006,0.7484985393556681,0.7122561579400842,0.7293217500502412
gemma-3-12b-it_summarization_xl_long_three,12.119365877685324,0.4801550407005249,0.1856761487417967,0.3776871516516185,0.3776272040006719,0.725081479684873,0.709954631599513,0.7167348963293162
gemma-3-12b-it_summarization_xl_short_one,10.75034024125534,0.468856306503415,0.1994509898782913,0.3998217733309462,0.4007765098392573,0.7507412379438226,0.7670684145255522,0.7578865072943948
gemma-3-12b-it_summarization_xl_short_three,10.616300056213763,0.4578819386188482,0.188451050307527,0.4009359113451979,0.4007149191998032,0.7500800463286313,0.7518400150266561,0.750015298073942
