test_name,bleu_score,corpus_rouge1,corpus_rouge2,corpus_rougeL,corpus_rougeLsum,corpus_bertscore_precision,corpus_bertscore_recall,corpus_bertscore_f1
gemma-3-12b-it_summarization_auto_long_one,21.409644132472696,0.5460871262423876,0.2692917158841149,0.441704875250256,0.4427246485328913,0.7586436247825623,0.7578336381912232,0.7573903119564056
gemma-3-12b-it_summarization_auto_long_three,27.526251125421982,0.56630957838233,0.313789232427755,0.4763893639113378,0.4765278220283543,0.7619824689626694,0.7703912496566773,0.765408239364624
gemma-3-12b-it_summarization_auto_short_one,12.421001073159337,0.4979165827199067,0.2419909094704171,0.4287377945785417,0.4291694681798443,0.7375948512554169,0.7820551139116287,0.7581199246644974
gemma-3-12b-it_summarization_auto_short_three,20.53257333838657,0.5511556187894422,0.3220195007660603,0.4824169351197758,0.484014442029914,0.7435031193494797,0.79829052567482,0.7691543263196945
gemma-3-12b-it_summarization_long_zero,11.90756640710684,0.4669867092105449,0.1816092863890221,0.3569612344873143,0.3568142772955814,0.7179767191410065,0.7045139741897583,0.7104334676265717
gemma-3-12b-it_summarization_short_zero,7.504273657731287,0.436696894051246,0.1857825466256442,0.3664104581623197,0.3670016700865615,0.7026621335744858,0.7606102216243744,0.7294069224596024
gemma-3-12b-it_summarization_xl_long_one,10.639762689524805,0.4874607901450418,0.1854158432400198,0.3820885278649915,0.3814816820523616,0.749434329867363,0.7107046681642533,0.7288663113117217
gemma-3-12b-it_summarization_xl_long_three,11.665610360251376,0.4818320184340633,0.1890204951639565,0.3793747516000557,0.378333053936998,0.7273964267969132,0.708910117149353,0.7172367471456528
gemma-3-12b-it_summarization_xl_short_one,11.24540795464062,0.4662936637687964,0.2049107295001518,0.4027880908662916,0.4024882791352377,0.7507473605871201,0.7659170234203339,0.7572871035337448
gemma-3-12b-it_summarization_xl_short_three,11.084298394012936,0.4610812340288654,0.1954687872630014,0.4049152986734604,0.4035203208839577,0.7508420675992966,0.7516099768877029,0.7502649855613709
